Date,Open,High,Low,Close,Adj Close,Volume
2018-07-13,61.240002,61.810001,60.970001,61.680000,61.680000,3079300
2018-07-16,61.509998,62.090000,61.509998,61.630001,61.630001,1695100
2018-07-17,61.439999,61.990002,61.099998,61.209999,61.209999,1779700
2018-07-18,61.419998,61.490002,60.490002,60.520000,60.520000,1916800
2018-07-19,60.259998,60.380001,59.230000,59.410000,59.410000,2738600
2018-07-20,59.410000,59.610001,59.070000,59.250000,59.250000,2102600
2018-07-23,59.130001,59.230000,58.320000,58.360001,58.360001,2462100
2018-07-24,58.480000,59.099998,57.889999,58.779999,58.779999,2519700
2018-07-25,58.779999,59.320000,58.509998,58.830002,58.830002,2194900
2018-07-26,59.099998,59.799999,58.889999,59.369999,59.369999,2548000
2018-07-27,59.470001,60.669998,59.290001,59.610001,59.610001,2325100
2018-07-30,59.500000,60.740002,59.500000,59.820000,59.820000,2324200
2018-07-31,59.869999,60.200001,59.480000,60.000000,60.000000,2495700
2018-08-01,59.950001,60.169998,59.139999,59.360001,59.360001,4099300
2018-08-02,61.110001,62.240002,60.000000,62.180000,62.180000,6327000
2018-08-03,61.110001,62.259998,61.110001,61.549999,61.549999,2603300
2018-08-06,61.590000,66.400002,61.580002,66.300003,66.300003,14881000
2018-08-07,66.309998,66.339996,65.129997,65.330002,65.330002,4777600
2018-08-08,65.309998,65.650002,64.459999,65.500000,65.500000,3106500
2018-08-09,65.519997,65.739998,64.839996,64.970001,64.970001,2295400
2018-08-10,64.639999,65.199997,64.059998,64.980003,64.980003,2241600
2018-08-13,64.940002,65.800003,64.529999,65.699997,65.699997,3222200
2018-08-14,65.779999,66.440002,65.660004,65.959999,65.959999,3311900
2018-08-15,65.519997,65.900002,65.040001,65.410004,65.410004,2408500
2018-08-16,65.680000,66.209999,65.550003,65.980003,65.980003,2549400
2018-08-17,65.870003,66.059998,65.550003,65.900002,65.900002,3088400
2018-08-20,65.739998,66.239998,65.500000,65.839996,65.839996,2621400
2018-08-21,65.769997,66.639999,65.769997,66.510002,66.510002,1973900
2018-08-22,66.279999,66.410004,65.519997,65.809998,65.809998,1750200
2018-08-23,65.500000,65.900002,65.180000,65.209999,65.209999,1564500
2018-08-24,65.449997,65.930000,65.169998,65.410004,65.410004,1945600
2018-08-27,65.199997,65.940002,65.199997,65.800003,65.800003,1629300
2018-08-28,65.849998,66.089996,65.410004,65.589996,65.589996,1697800
2018-08-29,65.739998,66.489998,65.510002,65.980003,65.980003,2411700
2018-08-30,65.570000,66.360001,65.330002,66.010002,66.010002,1965700
2018-08-31,66.129997,66.379997,65.699997,66.040001,66.040001,2375200
2018-09-04,65.739998,66.300003,65.529999,65.769997,65.769997,2103900
2018-09-05,65.629997,66.029999,65.430000,65.709999,65.709999,3141100
2018-09-06,65.500000,65.959999,65.370003,65.519997,65.519997,2277400
2018-09-07,65.330002,65.639999,64.070000,64.389999,64.389999,2843100
2018-09-10,64.980003,65.800003,64.589996,65.559998,65.559998,2171600
2018-09-11,65.559998,66.019997,65.239998,65.910004,65.910004,1375400
2018-09-12,66.000000,68.320000,65.620003,67.919998,67.919998,5019900
2018-09-13,68.000000,68.709999,67.370003,68.480003,68.480003,3797300
2018-09-14,68.580002,68.650002,67.900002,68.250000,68.250000,3161700
2018-09-17,68.029999,68.180000,67.320000,67.419998,67.419998,2757300
2018-09-18,67.430000,68.580002,67.080002,68.489998,68.489998,4113100
2018-09-19,68.610001,68.870003,67.720001,68.349998,68.349998,2847100
2018-09-20,68.779999,69.150002,68.339996,69.129997,69.129997,1875200
2018-09-21,69.339996,69.769997,68.889999,69.070000,69.070000,4046100
2018-09-24,68.699997,69.339996,68.500000,68.919998,68.919998,2749300
2018-09-25,69.510002,69.550003,68.559998,69.449997,69.449997,2610800
2018-09-26,69.470001,69.489998,68.690002,68.790001,68.790001,2577700
2018-09-27,69.080002,70.629997,68.870003,70.489998,70.489998,3661000
2018-09-28,70.449997,70.879997,69.980003,70.180000,70.180000,3703800
2018-10-01,70.709999,70.940002,69.970001,70.250000,70.250000,2684400
2018-10-02,70.160004,70.580002,69.570000,69.720001,69.720001,2272300
2018-10-03,69.820000,69.980003,68.750000,68.980003,68.980003,5562000
2018-10-04,68.529999,68.989998,68.260002,68.949997,68.949997,2890600
